rpt_rec_num,Provider CCN,Hospital Name,Street Address,City,State Code,Zip Code,County,Medicare CBSA Number,Rural Versus Urban,CCN Facility Type,Provider Type,Type of Control,Fiscal Year Begin Date,Fiscal Year End Date,FTE - Employees on Payroll,Number of Interns and Residents (FTE),Total Days Title V,Total Days Title XVIII,Total Days Title XIX,Total Days (V + XVIII + XIX + Unknown),Number of Beds,Total Bed Days Available,Total Discharges Title V,Total Discharges Title XVIII,Total Discharges Title XIX,Total Discharges (V + XVIII + XIX + Unknown),Number of Beds + Total for all Subproviders,Hospital Total Days Title V For Adults & Peds,Hospital Total Days Title XVIII For Adults & Peds,Hospital Total Days Title XIX For Adults & Peds,Hospital Total Days (V + XVIII + XIX + Unknown) For Adults & Peds,Hospital Number of Beds For Adults & Peds,Hospital Total Bed Days Available For Adults & Peds,Hospital Total Discharges Title V For Adults & Peds,Hospital Total Discharges Title XVIII For Adults & Peds,Hospital Total Discharges Title XIX For Adults & Peds,Hospital Total Discharges (V + XVIII + XIX + Unknown) For Adults & Peds,Cost of Charity Care,Total Bad Debt Expense,Cost of Uncompensated Care,Total Unreimbursed and Uncompensated Care,Total Salaries From Worksheet A,Overhead Non-Salary Costs,Depreciation Cost,Total Costs,Inpatient Total Charges,Outpatient Total Charges,Combined Outpatient + Inpatient Total Charges,Wage-Related Costs (Core),Wage-Related Costs (RHC/FQHC),Total Salaries (adjusted),Contract Labor: Direct Patient Care,Wage Related Costs for Part - A Teaching Physicians,Wage Related Costs for Interns and Residents,Accounts Receivable,Less: Allowances for Uncollectible Notes and Accounts Receivable,Other Current Assets,Total Current Assets,Fixed Equipment,Major Movable Equipment,Total Assets,"Salaries, Wages, and Fees Payable",Other Current Liabilities,Total Current Liabilities,Mortgage Payable,Notes Payable,Other Long Term Liabilities,Total Long Term Liabilities,Total Liabilities,General Fund Balance,Total Liabilities and Fund Balances,DRG Amounts Other Than Outlier Payments,Disproportionate Share Adjustment,Allowable DSH Percentage,Managed Care Simulated Payments,Total IME Payment,Inpatient Revenue,Outpatient Revenue,Total Patient Revenue,Less Contractual Allowance and Discounts on Patients' Accounts,Net Patient Revenue,Less Total Operating Expense,Net Income from Service to Patients,Total Other Income,Total Income,Total Other Expenses,Net Income,Cost To Charge Ratio,Net Revenue from Medicaid,Net Revenue from Stand-Alone CHIP
717629,344028,STRATEGIC BEHAVIORAL CENTER - GARNER,3200 WATERFIELD ROAD,GARNER,NC,27529-7727,,,,PH,4,1,1/1/2022,1/31/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717969,180078,PAUL B. HALL REGIONAL MEDICAL CENTER,PAUL B. HALL REGIONAL MEDICAL CENTE,PAINTSVILLE,KY,41240,JOHNSON,99918.0,R,STH,1,4,10/1/2021,11/30/2021,30.38,,,335.0,42.0,1110.0,72.0,4392.0,,65.0,92.0,274.0,72.0,,283.0,42.0,798.0,66.0,4026.0,,65.0,92.0,274.0,57070.0,,57070.0,245905.0,2268571.0,3279490.0,270777.0,5049463.0,26100235.0,41571321.0,67671556.0,1001920.0,,2268571.0,60247.0,,,28018299.0,-26200365.0,-705575.0,-436029.0,,,-359801.0,359727.0,73297.0,663266.0,,,,,663266.0,-1023067.0,-359801.0,,16804.0,0.12,,,26100235.0,41571321.0,67671556.0,61489025.0,6182531.0,5548061.0,634470.0,2151392.0,2785862.0,15.0,2785847.0,0.074617,1114125.0,
719460,520210,MARSHFIELD MEDICAL CENTER-EAU CLAIRE,2116 CRAIG ROAD,EAU CLAIRE,WI,54701,,20740.0,U,STH,1,2,10/1/2021,12/31/2021,792.25,0.57,,1245.0,108.0,4082.0,44.0,5152.0,,171.0,35.0,831.0,44.0,,1245.0,83.0,3839.0,44.0,5152.0,,171.0,35.0,831.0,1273341.0,2235460.0,2248020.0,2248020.0,21886304.0,41272817.0,6006682.0,50933990.0,28118018.0,84714916.0,112832934.0,2790927.0,,21886304.0,1125947.0,,,261740997.0,,,508893410.0,9221639.0,357526016.0,2101425992.0,31602079.0,18411705.0,125119945.0,1198776672.0,,128289346.0,1327066018.0,1452185963.0,649240029.0,2101425992.0,,48580.0,0.0873,1509884.0,,33588992.0,121909770.0,155498762.0,94363079.0,61135683.0,65395344.0,-4259661.0,845990.0,-3413671.0,151877.0,-3565548.0,0.451411,14333809.0,
719475,63037,COBALT REHAB HOSP WESTMINSTER,6500 WEST 104TH AVE,WESTMINSTER,CO,80020,,79740.0,U,RH,5,4,10/8/2021,12/31/2021,22.8,,,134.0,,569.0,40.0,3400.0,,12.0,,41.0,40.0,,134.0,,569.0,40.0,3400.0,,12.0,,41.0,,,,,974985.0,1676967.0,44979.0,1604587.0,1716579.0,,1716579.0,,,,,,,704254.0,-46053.0,,756970.0,4383.0,126483.0,5896079.0,67807.0,,215947.0,,,6038584.0,6038584.0,6254531.0,-358452.0,5896079.0,,,,,,1716578.0,,1716578.0,1044972.0,671606.0,2651952.0,-1980346.0,,-1980346.0,,-1980346.0,,,
721379,340123,AMERICAN HEALTHCARE SYSTEMS,373 NORTH FAYETTEVILLE STREET,ASHEBORO,NC,27204-,RANDOLPH,24660.0,U,STH,1,2,10/1/2021,12/31/2021,173.01,,,792.0,213.0,5016.0,145.0,13340.0,,178.0,62.0,1555.0,145.0,,745.0,143.0,4053.0,133.0,12236.0,,178.0,62.0,1555.0,1654222.0,3738257.0,2258671.0,2258671.0,10586248.0,19154646.0,257154.0,29100930.0,76289661.0,104740148.0,181029809.0,3604240.0,,10586248.0,871479.0,,,50385908.0,-46682646.0,,-29768611.0,,43228.0,-28034416.0,-1046562.0,893667.0,1474476.0,,-18087674.0,,-18087674.0,-16613198.0,-11421218.0,-28034416.0,,59194.0,0.1521,,,76292307.0,104753570.0,181045877.0,156553732.0,24492145.0,29740894.0,-5248749.0,-6661015.0,-11909764.0,,-11909764.0,0.160752,1724073.0,
721615,294016,DESERT WINDS HOSPITAL,5900 W ROCHELLE AVE,LAS VEGAS,NV,89103-3304,,,,PH,5,3,11/30/2021,12/31/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722316,341307,PENDER MEMORIAL HOSPITAL,507 E. FREMONT ST,BURGAW,NC,28425-,PENDER,48900.0,U,CAH,1,9,10/1/2021,12/31/2021,29.88,,,712.0,,1366.0,25.0,2300.0,,11.0,,20.0,68.0,,55.0,,58.0,25.0,2300.0,,11.0,,20.0,402814.0,1172059.0,767318.0,767318.0,2336443.0,9470427.0,76412.0,7768055.0,2704567.0,22345452.0,25050019.0,,,,,,,13689507.0,-8205906.0,,32001330.0,-118429.0,1644086.0,39606012.0,600986.0,8709659.0,11375303.0,,595238.0,116.0,595354.0,11970657.0,27635355.0,39606012.0,,,,,,2699645.0,22583156.0,25282801.0,18046625.0,7236176.0,11840025.0,-4603849.0,5052864.0,449015.0,-33155.0,482170.0,0.310102,199278.0,
722751,524042,MIRAMONT BEHAVIORAL HEALTH,3169 DEMING WAY,MIDDLETON,WI,53562-1435,,,,PH,4,3,11/22/2021,12/31/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
724025,360081,ST. CHARLES HOSPITAL,2600 NAVARRE AVENUE,OREGON,OH,43616,LUCAS,45780.0,U,STH,1,1,1/1/2022,2/28/2022,589.48,10.25,,843.0,47.0,3950.0,125.0,7375.0,,177.0,11.0,787.0,235.0,,758.0,33.0,3029.0,109.0,6431.0,,177.0,11.0,787.0,1463917.0,1472943.0,1726624.0,1726624.0,8425809.0,19009052.0,299382.0,24970641.0,81267215.0,67222495.0,148489710.0,1998330.0,,8425809.0,1761307.0,,,59081587.0,-43569758.0,,30950589.0,49641590.0,622743.0,88973313.0,1356628.0,7311386.0,31279242.0,,,3592808.0,3592808.0,34872050.0,54101263.0,88973313.0,,43474.0,0.1041,2910880.0,69987.0,81229215.0,67190195.0,148419410.0,123460216.0,24959194.0,27434861.0,-2475667.0,2259077.0,-216590.0,,-216590.0,0.168164,5341478.0,
724351,360262,MERCY ST. ANNE HOSPITAL,3404 W. SYLVANIA AVE,TOLEDO,OH,43623,LUCAS,45780.0,U,STH,1,1,1/1/2022,2/28/2022,509.79,0.14,,1186.0,81.0,3991.0,128.0,7552.0,,217.0,17.0,778.0,128.0,,883.0,58.0,2589.0,94.0,5546.0,,217.0,17.0,778.0,1145619.0,1854013.0,1390720.0,2353465.0,6661231.0,16229853.0,254017.0,20846962.0,81967733.0,83158027.0,165125760.0,1676098.0,,6661231.0,956013.0,,,60954985.0,-44116762.0,,27462057.0,43822853.0,3246339.0,101749622.0,1137739.0,19990778.0,28449387.0,,,17446794.0,17446794.0,45896181.0,55853441.0,101749622.0,,44586.0,0.0708,2530121.0,28089.0,81967732.0,83160078.0,165127810.0,141700451.0,23427359.0,22891084.0,536275.0,695574.0,1231849.0,,1231849.0,0.126249,2841977.0,
724417,113035,REHABILITATION HOSPITAL OF HENRY,2200 PATRICK HENRY PARKWAY,MCDONOUGH,GA,30253,HENRY,12060.0,U,RH,5,4,11/17/2021,2/28/2022,105.43,,,1621.0,17.0,2111.0,50.0,5200.0,,142.0,2.0,175.0,50.0,,1621.0,17.0,2111.0,50.0,5200.0,,142.0,2.0,175.0,,,,,2224423.0,1826952.0,510456.0,4396285.0,5333461.0,,5333461.0,290108.0,,2224423.0,,,,1527400.0,-261384.0,,-19269.0,,3752284.0,31305002.0,338589.0,8357.0,495842.0,,,15404580.0,15404580.0,15900422.0,15404580.0,31305002.0,,,,,,5333462.0,,5333462.0,2196297.0,3137165.0,4051375.0,-914210.0,6834.0,-907376.0,,-907376.0,,,
725037,430083,PHS HOSPITAL - EAGLE BUTTE,24276 166TH STREET,EAGLE BUTTE,SD,57625,DEWEY,99943.0,R,STH,1,7,10/1/2021,11/23/2021,334.0,,,52.0,62.0,186.0,8.0,432.0,,14.0,10.0,32.0,8.0,,52.0,62.0,186.0,8.0,432.0,,14.0,10.0,32.0,,,,,2889184.0,6827012.0,467368.0,4594670.0,1674.0,154600.0,156274.0,1.0,,2889184.0,,,,,,,,,,,,,,,,,,,,,,3561.0,0.12,,,,,,,,9716196.0,-9716196.0,,-9716196.0,,-9716196.0,,,
725412,140058,JACKSONVILLE MEMORIAL HOSPITAL,1600 WEST WALNUT,JACKSONVILLE,IL,62650,MORGAN,99914.0,R,STH,1,2,10/1/2021,4/25/2022,576.48,,,2237.0,61.0,6208.0,106.0,21942.0,,501.0,17.0,1347.0,121.0,,1899.0,19.0,4821.0,97.0,20079.0,,501.0,17.0,1347.0,944039.0,2710336.0,1645683.0,10252263.0,22295358.0,43161718.0,3566555.0,58046992.0,70948351.0,174023584.0,244971935.0,6764102.0,,22295358.0,6187649.0,,,18913552.0,-4222235.0,,15884491.0,24464861.0,22844368.0,209342838.0,4780526.0,5343405.0,17640269.0,13462250.0,,1365289.0,14827539.0,32467808.0,176875030.0,209342838.0,,82648.0,0.0681,,,70960711.0,176958581.0,247919292.0,186767101.0,61152191.0,65457076.0,-4304885.0,15856176.0,11551291.0,17988855.0,-6437564.0,0.236954,5012312.0,62304.0
726030,33043,REUNION REHABILITATION HOSPITAL PHOE,1675 E. VILLA STREET,PHOENIX,AZ,85006,MARICOPA,38060.0,U,RH,5,6,2/3/2022,3/31/2022,84.5,,,358.0,,490.0,48.0,2736.0,,31.0,,52.0,48.0,,358.0,,490.0,48.0,2736.0,,31.0,,52.0,,,,,1097317.0,805230.0,76596.0,1801441.0,2175671.0,,2175671.0,,,1097317.0,,,,813298.0,,,1549996.0,,1531392.0,3311835.0,155053.0,295587.0,592307.0,,1650778.0,,1650778.0,2243085.0,1068750.0,3311835.0,,,,,,2175671.0,,2175671.0,1063280.0,1112391.0,1902547.0,-790156.0,683.0,-789473.0,,-789473.0,,,
726763,403025,ENCOMPASS HEALTH REHABILITATION HOSP,3RD FL  UNIV HOSPITAL  MEDICAL CENT,SAN JUAN,PR,00936-8344,SAN JUAN,41980.0,U,RH,5,4,1/1/2022,5/31/2022,112.53,,,459.0,,4889.0,33.0,4983.0,,36.0,,403.0,33.0,,459.0,,4889.0,33.0,4983.0,,36.0,,403.0,,,,,1999443.0,2481102.0,176219.0,4236270.0,9756798.0,1248567.0,11005365.0,398428.0,,1999443.0,,,,3660275.0,-1759436.0,,5086687.0,,2924254.0,8683482.0,609050.0,-8957421.0,-8041456.0,,,1516739.0,1516739.0,-6524717.0,15208199.0,8683482.0,,,,,,9824213.0,1248567.0,11072780.0,5094692.0,5978088.0,4480545.0,1497543.0,13.0,1497556.0,,1497556.0,,,
730294,320058,MESCALERO INDIAN HOSPITAL,301 SAGE AVENUE,MESCALERO,NM,88340,OTERO,99932.0,R,STH,1,7,10/1/2021,2/1/2022,102.0,,,,,,6.0,744.0,,,,,6.0,,,,,6.0,744.0,,,,,,,,,2484796.0,4438964.0,69434.0,3927380.0,,30000.0,30000.0,2.0,,2484796.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6923760.0,-6923760.0,,-6923760.0,,-6923760.0,,,
